cohort_week,classic_d1,classic_d7,classic_d30,rolling_d1,rolling_d7,rolling_d30,eligible_d1,eligible_d7,eligible_d30
2024-01-01,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.9285714285714286,0.9285714285714286,0.5714285714285714,14.0,14.0,14.0
2024-01-08,0.26666666666666666,0.2,0.03333333333333333,0.8666666666666667,0.7666666666666667,0.26666666666666666,30.0,30.0,30.0
2024-01-15,0.11864406779661017,0.22033898305084745,0.0847457627118644,0.8983050847457628,0.8305084745762712,0.559322033898305,59.0,59.0,59.0
2024-01-22,0.17142857142857143,0.11428571428571428,0.05714285714285714,0.7571428571428571,0.6857142857142857,0.42857142857142855,70.0,70.0,70.0
2024-01-29,0.20224719101123595,0.11235955056179775,0.02247191011235955,0.7640449438202247,0.6067415730337079,0.38202247191011235,89.0,89.0,89.0
2024-02-05,0.15151515151515152,0.19696969696969696,0.15151515151515152,0.803030303030303,0.7727272727272727,0.45454545454545453,66.0,66.0,66.0
2024-02-12,0.2054794520547945,0.1643835616438356,0.0410958904109589,0.821917808219178,0.7397260273972602,0.4383561643835616,73.0,73.0,73.0
2024-02-19,0.29333333333333333,0.24,0.06666666666666667,0.88,0.7866666666666666,0.38666666666666666,75.0,75.0,75.0
2024-02-26,0.1518987341772152,0.1518987341772152,0.02531645569620253,0.7848101265822784,0.6708860759493671,0.35443037974683544,79.0,79.0,79.0
2024-03-04,0.2696629213483146,0.15730337078651685,0.056179775280898875,0.898876404494382,0.797752808988764,0.43820224719101125,89.0,89.0,89.0
2024-03-11,0.17391304347826086,0.17391304347826086,0.06521739130434782,0.8695652173913043,0.7282608695652174,0.5,92.0,92.0,92.0
2024-03-18,0.175,0.1875,0.075,0.85,0.7375,0.3875,80.0,80.0,80.0
2024-03-25,0.21839080459770116,0.16091954022988506,0.12643678160919541,0.7931034482758621,0.6781609195402298,0.2988505747126437,87.0,87.0,87.0
2024-04-01,0.28205128205128205,0.11538461538461539,0.1282051282051282,0.8717948717948718,0.6923076923076923,0.4230769230769231,78.0,78.0,78.0
2024-04-08,0.1958762886597938,0.13402061855670103,0.061855670103092786,0.7938144329896907,0.6701030927835051,0.4020618556701031,97.0,97.0,97.0
2024-04-15,0.19753086419753085,0.13580246913580246,0.12345679012345678,0.8148148148148148,0.6666666666666666,0.41975308641975306,81.0,81.0,81.0
2024-04-22,0.19047619047619047,0.25396825396825395,0.031746031746031744,0.8412698412698413,0.7301587301587301,0.2857142857142857,63.0,63.0,63.0
2024-04-29,0.15942028985507245,0.15942028985507245,0.10144927536231885,0.8260869565217391,0.6956521739130435,0.4927536231884058,69.0,69.0,69.0
2024-05-06,0.20588235294117646,0.10784313725490197,0.0196078431372549,0.8431372549019608,0.6862745098039216,0.37254901960784315,102.0,102.0,102.0
2024-05-13,0.2112676056338028,0.19718309859154928,0.04225352112676056,0.8028169014084507,0.676056338028169,0.36619718309859156,71.0,71.0,71.0
2024-05-20,0.25609756097560976,0.17073170731707318,0.07317073170731707,0.8048780487804879,0.7195121951219512,0.4024390243902439,82.0,82.0,82.0
2024-05-27,0.19101123595505617,0.23595505617977527,0.12359550561797752,0.8764044943820225,0.7640449438202247,0.5056179775280899,89.0,89.0,89.0
2024-06-03,0.15,0.2125,0.075,0.8125,0.7375,0.4125,80.0,80.0,80.0
2024-06-10,0.2112676056338028,0.2112676056338028,0.056338028169014086,0.8873239436619719,0.6901408450704225,0.38028169014084506,71.0,71.0,71.0
2024-06-17,0.16494845360824742,0.14432989690721648,0.05154639175257732,0.8144329896907216,0.711340206185567,0.4742268041237113,97.0,97.0,97.0
2024-06-24,0.19736842105263158,0.25,0.10526315789473684,0.8157894736842105,0.7105263157894737,0.4342105263157895,76.0,76.0,76.0
2024-07-01,0.16883116883116883,0.11688311688311688,0.06493506493506493,0.8051948051948052,0.6883116883116883,0.37662337662337664,77.0,77.0,77.0
2024-07-08,0.1506849315068493,0.1643835616438356,0.0273972602739726,0.8493150684931506,0.7808219178082192,0.4383561643835616,73.0,73.0,73.0
