cohort_age,eligible_users,retained_users,classical_retention,ci_low,ci_high
0,3709,3709,1.0,0.9989653207936475,0.9999999999999998
1,3709,730,0.1968185494742518,0.18433921813307316,0.20992527190065188
2,3709,760,0.20490698301428956,0.19222526701021422,0.21819935223559464
3,3709,743,0.20032353734160152,0.18775550237415872,0.21351171031813604
4,3709,707,0.1906174170935562,0.1782988864590473,0.20357617117874682
5,3709,661,0.178215152332165,0.16623370281973388,0.19086249002619843
6,3709,657,0.17713669452682665,0.16518557240991283,0.18975593654107498
7,3709,635,0.17120517659746562,0.15942388589048476,0.18366686163830823
8,3709,542,0.14613103262334862,0.13512888549422833,0.15786546147710487
9,3709,509,0.1372337557293071,0.12653446572977461,0.14868373910826638
10,3709,478,0.12887570773793475,0.11847510527000166,0.1400442993822194
11,3709,473,0.1275276354812618,0.11717657195827018,0.13864947782527026
12,3709,461,0.1242922620652467,0.11406170410662922,0.13530029399207769
13,3709,483,0.1302237799946077,0.11977402595435302,0.1414387335665487
14,3709,441,0.11889997303855486,0.10887549166191358,0.1297130869620708
15,3709,455,0.12267457535723915,0.11250514179970264,0.1336248304565875
16,3709,398,0.10730655163116742,0.0977489820862126,0.11767674466711828
17,3709,385,0.10380156376381774,0.09439208535984493,0.11403091873491632
18,3709,381,0.10272310595847937,0.09335988496026483,0.11290843523955192
19,3709,379,0.1021838770558102,0.0928439093517927,0.11234706890055181
20,3709,361,0.09733081693178755,0.08820397396236396,0.10729092676273025
21,3709,348,0.09382582906443786,0.0848573896763324,0.10363478839019215
22,3709,333,0.08978161229441899,0.0810008928243927,0.09941122063608997
23,3709,315,0.08492855217039633,0.07638053209205521,0.09433550384117713
24,3709,330,0.08897276894041521,0.0802302556261233,0.09856584491315097
25,3709,304,0.08196279320571583,0.07356122250957221,0.09122943271256274
26,3709,286,0.07710973308169318,0.06895524706059572,0.08613933063428897
27,3709,280,0.07549204637368563,0.06742208761809175,0.08444046423437616
28,3708,273,0.07362459546925566,0.06565261179683485,0.08247914037707255
29,3705,253,0.06828609986504723,0.06060304787820843,0.0768634861468629
30,3705,239,0.06450742240215925,0.05703955225973186,0.0728774547108543
31,3700,266,0.0718918918918919,0.06400511958802475,0.08066672598982068
32,3694,235,0.06361667569030861,0.056190241983765016,0.07194980598367634
33,3686,223,0.060499186109603906,0.05325052353677791,0.06866300250726691
34,3682,209,0.056762629005975014,0.04974017326345991,0.06470902064655512
35,3680,239,0.06494565217391304,0.05742850475301643,0.07337017019543955
36,3674,209,0.05688622754491018,0.04984885659964881,0.06484928591959399
37,3666,184,0.050190943807965085,0.04358192577630643,0.05774168448523728
38,3658,196,0.05358119190814653,0.046740699722126494,0.06135835076656751
39,3652,188,0.05147864184008762,0.04477138966307341,0.05912851672236735
40,3642,192,0.05271828665568369,0.04592029299650632,0.060458876082040605
41,3635,181,0.04979367262723521,0.04318542435957416,0.05735250507379276
42,3620,146,0.04033149171270718,0.0343947560681175,0.047242807781251624
43,3606,150,0.04159733777038269,0.03555336284022009,0.04861697859526007
44,3595,151,0.04200278164116829,0.03591962315447232,0.04906372259767193
45,3582,152,0.04243439419318816,0.036308539697799895,0.04954065118670543
46,3573,145,0.04058214385670305,0.03459014631639901,0.04756098947893508
47,3554,128,0.03601575689364097,0.030373569588910326,0.042659923526691
48,3544,126,0.035553047404063204,0.02994194633554009,0.04216995403791514
49,3534,115,0.03254102999434069,0.027179825025772555,0.0389174247776104
50,3521,124,0.03521726782164158,0.029617515181347837,0.041830120933704806
51,3506,122,0.03479749001711352,0.029222211463558728,0.04139111763938426
52,3495,131,0.03748211731044349,0.03167572749026942,0.04430416253961933
53,3486,100,0.02868617326448652,0.023642536105226326,0.034767450181830375
54,3470,93,0.02680115273775216,0.02192834174086093,0.03272055186442032
55,3459,99,0.028620988725065046,0.023565736760357447,0.03472211562076215
56,3451,88,0.025499855114459576,0.02074449869016502,0.03131044935723606
57,3442,91,0.02643811737361999,0.021583314170213447,0.032348822466595394
58,3425,100,0.029197080291970802,0.02406461763725888,0.03538449777244683
59,3413,85,0.024904775857017288,0.020186433504207336,0.030691429841872276
60,3403,83,0.024390243902439025,0.019718900840683277,0.030134194765522773
